Client 0,file1m5.txt,325
Client 1,file1m5.txt,316
Client 2,file1m5.txt,333
Client 3,file1m5.txt,312
Client 4,file1m5.txt,301
Client 12,file1m1.txt,290
Client 8,file1m5.txt,299
Client 11,file1m1.txt,193
Client 9,file1m5.txt,249
Client 7,file1m5.txt,236
Client 5,file1m5.txt,226
Client 13,file1m1.txt,178
Client 6,file1m5.txt,228
Client 14,file1m1.txt,175
Client 10,file1m1.txt,188
Client 15,file1m1.txt,158
Client 16,file1m1.txt,128
Client 17,file1m1.txt,31
Client 18,file1m1.txt,32
Client 21,file1m2.txt,271
Client 19,file1m1.txt,268
Client 20,file1m2.txt,253
Client 22,file1m2.txt,10
Client 30,file1m3.txt,270
Client 25,file1m2.txt,206
Client 23,file1m2.txt,193
Client 24,file1m2.txt,203
Client 27,file1m2.txt,157
Client 29,file1m2.txt,193
Client 31,file1m3.txt,136
Client 28,file1m2.txt,146
Client 26,file1m2.txt,136
Client 32,file1m3.txt,10
Client 34,file1m3.txt,13
Client 33,file1m3.txt,14
Client 36,file1m3.txt,10
Client 46,file1m4.txt,751
Client 42,file1m4.txt,1629
Client 39,file1m3.txt,945
Client 43,file1m4.txt,1630
Client 37,file1m3.txt,950
Client 38,file1m3.txt,941
Client 44,file1m4.txt,1636
Client 40,file1m4.txt,1625
Client 41,file1m4.txt,1644
Client 35,file1m3.txt,2317
Client 45,file1m4.txt,3036
Client 47,file1m4.txt,2995
Client 48,file1m4.txt,39
Client 49,file1m4.txt,30
