Client 57,file350k2.txt,107,19,13,316,297,
Client 58,file350k2.txt,22,8,20,28,741,
Client 93,file350k2.txt,20,19,19,19,795,
Client 54,file350k3.txt,1003,718,680,727,1932,
Client 55,file350k3.txt,3657,19,603,1238,710,
Client 9,file350k3.txt,269,186,264,243,204,
Client 1,file350k4.txt,221,294,184,42,224,
Client 112,file350k4.txt,1182,596,9,19,604,
Client 135,file350k4.txt,875,382,18,67,19,
Client 20,file350k4.txt,257,178,5,12,617,
Client 21,file350k4.txt,228,18,19,4,411,
Client 29,file350k4.txt,19,19,10,19,15,
Client 36,file350k4.txt,427,21,388,569,198,
Client 50,file350k4.txt,641,19,19,19,1504,
Client 8,file350k4.txt,30,13,5,175,11,
Client 123,file350k5.txt,947,721,863,940,849,
Client 128,file350k5.txt,48,19,95,90,54,
Client 38,file350k5.txt,713,18,670,731,712,
Client 46,file350k5.txt,656,718,732,722,1672,
Client 69,file350k5.txt,936,1047,175,18,1055,
Client 12,file500k1.txt,157,211,205,177,215,
Client 145,file500k1.txt,1420,714,714,766,744,
Client 39,file500k1.txt,6,6,662,32,92,
Client 133,file500k2.txt,728,1091,1062,943,1035,
Client 3,file500k2.txt,218,226,187,221,194,
Client 34,file500k2.txt,172,24,513,611,24,
Client 108,file500k3.txt,731,968,715,713,703,
Client 121,file500k3.txt,728,406,715,727,724,
Client 141,file500k3.txt,514,178,7,11,24,
Client 68,file500k3.txt,2040,2092,720,1367,2089,
Client 95,file500k3.txt,707,712,699,713,722,
Client 136,file500k4.txt,1697,1393,1303,1029,1342,
Client 144,file500k4.txt,780,715,719,718,740,
Client 5,file500k4.txt,222,285,300,228,159,
Client 130,file500k5.txt,1633,728,697,669,724,
Client 56,file500k5.txt,2816,1334,1309,1849,1218,
Client 87,file500k5.txt,725,722,706,718,709,
Client 89,file500k5.txt,1242,12,1406,28,1998,
Client 106,file75k1.txt,693,907,692,676,733,
Client 147,file75k1.txt,700,696,727,675,697,
Client 4,file75k1.txt,125,190,173,150,158,
Client 109,file75k2.txt,235,11,12,11,11,
Client 111,file75k2.txt,1524,233,46,5,12,
Client 139,file75k2.txt,7,11,11,11,184,
Client 17,file75k2.txt,294,183,312,173,570,
Client 23,file75k2.txt,551,573,484,74,556,
Client 31,file75k2.txt,20,25,19,13,210,
Client 63,file75k2.txt,2230,5,202,7,1557,
Client 76,file75k2.txt,39,12,156,228,1344,
Client 67,file75k3.txt,3649,1671,673,946,2656,
Client 143,file75k4.txt,513,12,4,11,13,
Client 19,file75k4.txt,365,195,377,138,599,
Client 30,file75k4.txt,17,21,20,19,70,
Client 51,file75k4.txt,713,651,11,658,1834,
Client 98,file75k4.txt,12,3,432,487,509,
Client 103,file75k5.txt,7,281,11,626,12,
Client 105,file75k5.txt,3,11,11,12,11,
Client 110,file75k5.txt,379,400,554,3,11,
Client 24,file75k5.txt,15,4,17,13,17,
Client 64,file75k5.txt,3667,148,9,129,1281,
Client 7,file75k5.txt,187,173,350,127,169,
Client 75,file75k5.txt,1552,1249,526,542,1918,
Client 97,file75k5.txt,11,12,12,11,11,
,,129367,69517,66208,61922,106606,86724
