Client 27,file110k1.txt,641,2940,1958,680,2043,
Client 79,file110k1.txt,2695,3428,1643,693,1873,
Client 86,file110k1.txt,884,852,794,869,878,
Client 124,file110k2.txt,1695,2615,2767,3489,2311,
Client 104,file110k3.txt,1027,2343,2293,1871,2061,
Client 49,file110k3.txt,922,2784,938,4316,1346,
Client 92,file110k3.txt,1165,677,669,1809,1126,
Client 142,file110k4.txt,1838,679,2034,684,2254,
Client 78,file110k4.txt,2584,3988,1336,696,2659,
Client 120,file110k5.txt,679,701,1012,873,825,
Client 61,file110k5.txt,786,2545,1082,4112,1436,
Client 107,file130k1.txt,528,751,786,456,508,
Client 114,file130k1.txt,8,17,4,15,937,
Client 119,file130k1.txt,540,600,5,3051,2281,
Client 13,file130k1.txt,562,1970,71,611,455,
Client 131,file130k1.txt,452,293,3,6,448,
Client 14,file130k1.txt,144,270,694,676,152,
Client 41,file130k1.txt,27,4044,4,1258,1117,
Client 60,file130k1.txt,8,1454,14,2918,13,
Client 84,file130k1.txt,1972,4071,1455,3266,2179,
Client 122,file130k2.txt,699,1242,1520,2220,1305,
Client 134,file130k2.txt,836,1353,1192,1202,883,
Client 15,file130k2.txt,675,1763,676,672,701,
Client 35,file130k2.txt,1725,4760,1893,3228,2482,
Client 37,file130k2.txt,1819,3510,2602,2275,2526,
Client 0,file130k3.txt,143,126,222,158,158,
Client 116,file130k3.txt,754,635,1315,1638,895,
Client 33,file130k3.txt,2174,4678,2482,2948,2910,
Client 48,file130k3.txt,6,4093,17,678,120,
Client 126,file130k4.txt,1568,2532,2692,3429,1591,
Client 140,file130k4.txt,1609,1267,557,4,1358,
Client 26,file130k4.txt,911,5363,2358,667,3262,
Client 45,file130k4.txt,674,3240,731,1132,828,
Client 52,file130k4.txt,654,640,1287,1725,594,
Client 90,file130k4.txt,2074,957,1126,2107,1519,
Client 18,file130k5.txt,662,1763,685,672,644,
Client 40,file130k5.txt,659,1482,631,1089,695,
Client 73,file130k5.txt,647,2543,683,1182,1932,
Client 80,file130k5.txt,2863,4110,1394,673,2770,
Client 85,file130k5.txt,2136,1149,1240,2995,2524,
Client 71,file1m1.txt,1581,2838,947,2784,2208,
Client 91,file1m1.txt,2651,1524,1561,2696,2747,
Client 32,file1m2.txt,2440,4160,2466,3205,3195,
Client 72,file1m2.txt,2721,4688,1420,3162,1958,
Client 74,file1m2.txt,1350,1911,1364,1835,1278,
Client 10,file1m3.txt,1203,1715,237,218,1054,
Client 118,file1m3.txt,11,37,14,3860,1008,
Client 137,file1m3.txt,1531,853,1836,1215,2067,
Client 146,file1m3.txt,1037,11,10,9,37,
Client 25,file1m3.txt,1124,1206,743,1125,1280,
Client 70,file1m3.txt,2802,3750,431,3358,2831,
Client 83,file1m3.txt,2776,3623,760,3385,2106,
Client 11,file1m4.txt,987,2290,259,379,884,
Client 16,file1m4.txt,221,772,374,1037,199,
Client 82,file1m4.txt,3983,2938,735,781,1273,
Client 102,file1m5.txt,733,744,743,39,692,
Client 113,file1m5.txt,551,45,718,32,1456,
Client 59,file1m5.txt,727,2498,749,3384,722,
Client 6,file1m5.txt,237,232,278,304,236,
Client 94,file1m5.txt,2742,1743,1742,3574,1549,
Client 2,file200k1.txt,139,180,168,185,174,
Client 22,file200k1.txt,1292,1465,212,559,11,
Client 44,file200k1.txt,13,3522,4,1356,1090,
Client 62,file200k1.txt,352,2142,669,5,1045,
Client 77,file200k1.txt,2094,3288,1468,656,2643,
Client 88,file200k1.txt,456,563,1177,1807,1242,
Client 115,file200k2.txt,666,677,792,703,2361,
Client 117,file200k2.txt,31,23,11,3242,1149,
Client 148,file200k2.txt,1608,692,715,685,637,
Client 101,file200k3.txt,680,716,871,704,1534,
Client 127,file200k3.txt,2520,2186,1718,4546,3826,
Client 47,file200k3.txt,848,2047,1036,3633,1345,
Client 99,file200k3.txt,2597,1907,1893,1442,2739,
Client 100,file200k4.txt,691,1369,1447,913,2223,
Client 42,file200k4.txt,678,2233,647,3798,671,
Client 65,file200k4.txt,680,1265,1321,1994,777,
